fcu_oveTSup_u,fcu_oveFan_u,zon_reaTRooAir_y,zon_weaSta_reaWeaTDryBul_y,time
291.3228383681117,0.4117680571077639,296.0535682177796,277.3532455632716,29351100
299.3228383681117,0.6117680571077638,298.13497707288565,277.14726080246913,29351400
294.98200903598087,0.468577639560931,297.3103083833166,276.935546875,29351700
302.98200903598087,0.4185019505553928,299.26640901891886,276.7216049382716,29352000
310.07506772910256,0.5518120190770384,302.34739024852234,276.5089361496913,29352300
302.07506772910256,0.3518120190770383,300.5053004708699,276.30104166666666,29352600
308.5109284414179,0.5197768844752703,302.07002348600616,276.10142264660493,29352900
309.9164728202757,0.3197768844752702,302.0305546263256,275.9135802469136,29353200
301.9164728202757,0.5197768844752703,300.49830013483347,275.741015625,29353500
299.5596809684408,0.5673528030563334,299.35346435535087,275.5872299382716,29353800
301.32304065841026,0.7673528030563335,299.7927837135916,275.4557243441358,29354100
294.87127748005685,0.8743032310471545,296.9683529638863,275.35,29354400
302.5120567118114,0.6743032310471544,299.1183368574001,275.2583333333333,29354700
305.1666627628126,0.6691426159209468,300.54777115189944,275.16666666666663,29355000
297.1666627628126,0.5334533853096424,298.00715496661974,275.075,29355300
289.1666627628126,0.3551723075737695,295.41573616006684,274.9833333333333,29355600
286.9321685293153,0.41811361274021863,293.8131550414693,274.89166666666665,29355900
289.36430780277965,0.4972536846575061,293.7014302736054,274.79999999999995,29356200
297.36430780277965,0.6972536846575061,296.1000977353012,274.7083333333333,29356500
289.36430780277965,0.4972536846575061,294.13882216735635,274.6166666666666,29356800
297.36430780277965,0.638030050769338,296.05986485717654,274.525,29357100
289.3769708211397,0.438030050769338,294.2334119816236,274.43333333333334,29357400
286.7974302358695,0.4470550734604424,293.01719839168265,274.34166666666664,29357700
294.7974302358695,0.6357507637719086,294.7734873783183,274.25,29358000
286.7974302358695,0.8357507637719086,291.78353778684,274.1583333333333,29358300
294.7974302358695,0.777971611078459,294.49067061117427,274.06666666666666,29358600
302.7974302358695,0.577971611078459,297.68199342021325,273.975,29358900
294.7974302358695,0.7779716110784589,295.6494435850932,273.8833333333333,29359200
302.7974302358695,0.577971611078459,297.9688312730406,273.79166666666663,29359500
302.7454307554514,0.7779716110784589,298.9781267014637,273.7,29359800
308.78693064160626,0.577971611078459,300.79441351936697,273.6083333333333,29360100
300.78693064160626,0.7427687583652814,298.78024439122817,273.51666666666665,29360400
297.50993530679625,0.5427687583652814,297.05825304492623,273.42499999999995,29360700
305.50993530679625,0.5676883708804913,299.2064017938983,273.3333333333333,29361000
297.50993530679625,0.3676883708804913,297.1649081006984,273.2416666666666,29361300
305.50993530679625,0.2723855833823485,297.8862326264496,273.15,29361600
297.50993530679625,0.47238558338234854,296.71855388516656,273.05833333333334,29361900
293.1539761970095,0.2723855833823485,295.37659754360914,272.96666666666664,29362200
299.9992433775048,0.47238558338234854,296.5982774889495,272.875,29362500
307.9992433775048,0.6723855833823486,300.2592696488164,272.7833333333333,29362800
299.9992433775048,0.8723855833823485,298.3007544748379,272.69166666666666,29363100
297.8633065522673,0.6723855833823487,296.9268266157165,272.6,29363400
291.1838165701318,0.5560094832285022,294.26071306677244,272.5083333333333,29363700
293.0454398899517,0.3560094832285022,294.2581217431021,272.41666666666663,29364000
285.4072116012983,0.5560094832285022,291.71016761214,272.325,29364300
293.15854065693554,0.6212764066824364,293.43629608985697,272.2333333333333,29364600
294.7399286231949,0.4367262503014425,294.2505310825759,272.14166666666665,29364900
297.8301594604748,0.2663732844038426,294.975450443364,272.04999999999995,29365200
289.8301594604748,0.46637328440384274,293.2790597691487,271.95732060185185,29365500
297.8301594604748,0.6663732844038427,295.36984319557814,271.86273148148143,29365800
293.84139569176364,0.6837053374941569,294.3549514570422,271.76640625,29366100
288.8613448960052,0.4837053374941568,292.695504464047,271.6685185185185,29366400
296.8613448960052,0.6837053374941569,294.81904256774305,271.5692418981481,29366700
288.8613448960052,0.8837053374941568,291.8859431473501,271.46875,29367000
296.8613448960052,0.6837053374941569,294.58555138329643,271.3672164351852,29367300
304.8613448960052,0.6949611198166477,298.24732563154373,271.2648148148148,29367600
299.09998316072176,0.5088468063417144,296.71332756216066,271.16171875,29367900
300.6012101246997,0.3088468063417144,296.26989437739854,271.0581018518518,29368200
292.6012101246997,0.5088468063417144,294.17526794307304,270.95413773148147,29368500
294.54076758783515,0.7088468063417144,294.18036872591875,270.85,29368800
292.7041032425856,0.6356868891020226,293.46638996225505,270.7451871141975,29369100
293.6969687125797,0.4356868891020226,293.6025228730716,270.6391905162738,29369400
288.5985316887085,0.2356868891020226,292.7879637861377,270.5321732954545,29369700
296.5985316887085,0.4356868891020226,294.103560306304,270.4242985409652,29370000
293.53562615922385,0.3971924006802059,293.6638597351731,270.3157293420314,29370300
295.9512608174641,0.5971924006802058,294.3201207795686,270.20662878787874,29370600
295.544704776864,0.5546258804211407,294.29634358026334,270.09715996773286,29370900
287.544704776864,0.5650189341217784,291.67097672845034,269.9874859708193,29371200
288.5773418357079,0.7650189341217783,291.03937116858646,269.87776988636364,29371500
296.5773418357079,0.5650189341217784,293.6967829219808,269.7681748035914,29371800
304.5773418357079,0.6867787833274066,297.5458105361711,269.6588638117284,29372100
296.5773418357079,0.8318548382844927,295.48473592632445,269.54999999999995,29372400
295.6361704530379,0.6318548382844926,294.5662950073709,269.43333333333334,29372700
303.6361704530379,0.4318548382844926,296.3350125123559,269.30319865319865,29373000
295.88353381327306,0.5355470896680798,294.8205299690644,269.1636363636364,29373300
303.01006438831826,0.7355470896680798,297.38792222498586,269.01868686868687,29373600
295.82819445730814,0.6302079674919749,295.0921893856562,268.87239057239054,29373900
288.6330692309235,0.8302079674919749,291.48621294301444,268.72878787878784,29374200
296.6330692309235,0.6302079674919749,293.8350833199833,268.59191919191915,29374500
304.6330692309235,0.437637024778741,296.2784618998824,268.4658249158249,29374800
296.6330692309235,0.237637024778741,294.6648021870004,268.3545454545454,29375100
298.60263079889273,0.437637024778741,294.858192217377,268.2621212121212,29375400
301.50908234382075,0.48337628316156167,295.8664620309376,268.1925925925926,29375700
301.917400768791,0.2833762831615616,295.5265707999229,268.15,29376000
298.5199407880385,0.48337628316156167,295.1740914643475,268.15189043209875,29376300
290.5199407880385,0.6251322906780942,292.4567101864726,268.20771604938267,29376600
298.5199407880385,0.4251322906780941,294.04204293765827,268.309375,29376900
295.2568241706404,0.2251322906780941,293.4309562532545,268.44876543209875,29377200
303.2568241706404,0.4251322906780941,295.5320826246522,268.6177854938271,29377500
295.2568241706404,0.6251322906780942,294.1642911156393,268.80833333333334,29377800
298.8541134457958,0.4251322906780941,294.6085761724352,269.0123070987654,29378100
305.461330987078,0.6251322906780942,297.5471359872292,269.2216049382716,29378400
305.38404216731107,0.8251322906780942,298.98914110251985,269.428125,29378700
312.8236831678181,0.91261752388495,302.7154716284571,269.6237654320988,29379000
305.392528986709,0.7126175238849499,299.7855673890072,269.800424382716,29379300
297.392528986709,0.51261752388495,296.2395784555415,269.95,29379600
302.38224632038634,0.3126175238849499,296.0065059191168,270.0833333333333,29379900
294.38224632038634,0.1994647469889308,294.2392403266053,270.21666666666664,29380200
292.7712114100283,0.1974263894051336,293.21394704222973,270.35,29380500
300.7712114100283,0.3974263894051337,294.7669575098858,270.4833333333333,29380800
304.52322187663583,0.1974263894051336,295.02558538032645,270.6166666666666,29381100
299.55288434140226,0.1949715014238663,294.3980997188487,270.75,29381400
302.69206129717963,0.3949715014238663,295.5745452058589,270.8833333333333,29381700
295.1018367750838,0.20022295136447496,293.9827252563366,271.01666666666665,29382000
300.5432567634244,0.0384322252002122,293.28741571547727,271.15,29382300
296.45469912196063,0.2384322252002123,293.25976443332945,271.2833333333333,29382600
290.51307556492094,0.4384322252002123,292.009754256694,271.41666666666663,29382900
285.7510566431023,0.2384322252002123,290.99463054312105,271.54999999999995,29383200
287.1018507398386,0.4384322252002123,290.37928565034787,271.6935185185185,29383500
295.1018507398386,0.2384322252002123,291.826844871679,271.8537037037037,29383800
302.2877353109103,0.3058652703650196,293.89103301870034,272.025,29384100
295.99544119441737,0.10586527036501961,293.01262888060285,272.2018518518518,29384400
287.99544119441737,0.3058652703650196,291.45569512915307,272.3787037037037,29384700
285.6934065624727,0.373227332572692,290.2324797127165,272.54999999999995,29385000
293.6934065624727,0.2205406186481657,291.4272387750342,272.71018518518514,29385300
288.1848267096365,0.4205406186481658,290.66291529579735,272.8537037037037,29385600
296.1848267096365,0.5787049674739176,292.8703290858723,272.975,29385900
288.25719549314044,0.3787049674739176,291.17156017271554,273.0685185185185,29386200
286.7744299522053,0.5787049674739176,289.853703788,273.1287037037037,29386500
290.4706801943067,0.7787049674739177,290.70420533182454,273.15,29386800
298.4706801943067,0.5787049674739178,293.6062476564149,273.1287037037037,29387100
297.91653857467713,0.7787049674739177,294.6061011018778,273.0685185185185,29387400
298.6058304677881,0.5787049674739178,294.72022404489974,272.975,29387700
304.38546808208235,0.3787049674739177,295.69421538427895,272.8537037037037,29388000
309.4009404833844,0.5787049674739178,298.5533275943332,272.71018518518514,29388300
301.4009404833844,0.4480146612671202,296.4383558419908,272.54999999999995,29388600
294.5271235261324,0.6099784404620743,293.95660630967103,272.3787037037037,29388900
302.5271235261324,0.8099784404620742,296.84136146058086,272.2018518518518,29389200
310.5271235261324,0.6099784404620743,299.47804047522914,272.025,29389500
302.5271235261324,0.6942991334916538,297.6808407661186,271.8537037037037,29389800
294.5271235261324,0.8942991334916538,294.23609457789166,271.6935185185185,29390100
302.5271235261324,0.694299133491654,296.5753409025018,271.54999999999995,29390400
296.57949451723823,0.8496781246454747,294.90929603916413,271.41666666666663,29390700
304.57949451723823,0.6496781246454746,297.27020567438825,271.2833333333333,29391000
296.57949451723823,0.6751446251422623,294.9341209383991,271.15,29391300
300.3753430556264,0.4751446251422622,295.2191005784317,271.01666666666665,29391600
292.3753430556264,0.5394110842166832,292.83116393677415,270.8833333333333,29391900
300.3753430556264,0.3394110842166831,293.90773444098363,270.75,29392200
292.3753430556264,0.1394110842166831,292.508383726161,270.6166666666666,29392500
300.3753430556264,0.015619338575000499,291.90910139999147,270.4833333333333,29392800
308.3753430556264,0.21561933857500054,293.9507643366111,270.35,29393100
300.3753430556264,0.0800115410795079,292.93827645575533,270.21666666666664,29393400
308.3753430556264,0.0978430687424299,293.09513815383747,270.0833333333333,29393700
300.3753430556264,0.29784306874243,293.57936827108614,269.95,29394000
295.1141758032379,0.0978430687424299,292.3835417906113,269.8101851851852,29394300
292.6464892377344,0.29784306874243,291.7123206133064,269.6592592592592,29394600
299.04824397010947,0.49784306874243,293.5226518227454,269.5,29394900
301.6293137676949,0.69784306874243,295.6314411954476,269.33518518518514,29395200
306.4346887190971,0.4978430687424299,296.8717207360141,269.1675925925926,29395500
298.4346887190971,0.6816108377734349,295.20425969711823,269.0,29395800
296.26130422788185,0.48161083777343483,293.7538534857351,268.83518518518514,29396100
304.26130422788185,0.6816108377734349,296.6361937783382,268.6759259259259,29396400
296.26130422788185,0.5984778619136686,294.2555930252764,268.525,29396700
292.37430801869067,0.7984778619136685,292.1714259869841,268.38518518518515,29397000
295.0619048341057,0.5984778619136686,292.55452681745385,268.25925925925924,29397300
295.527992529684,0.7984778619136685,293.0986797691252,268.15,29397600
